system:index,MNDWI,NBR,NDMI,NDVI,block_id,blue,class_numeric,dist_to_water,elev_rel_lake,green,nir,red,reserve_id,slope,swir1,swir2,.geo
17036,0.74153334,0.63049114,0.6166762,0.21132062,8.53303984E8,0.0349875,1.0,0.0,1.7053026E-13,0.035455,0.024675,0.0175525,5,0.0,0.00323875,0.00571375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.915643114495046,46.907650569310576]}"
17037,0.78955686,0.6178414,0.6949198,0.20463225,8.53303984E8,0.039525,1.0,0.0,1.7053026E-13,0.03970375,0.0242075,0.01577875,5,0.0,0.0044075,0.0048475,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.916036870759318,46.90765237197572]}"
17038,0.8025657,0.78132564,0.65252674,0.184686,8.53403984E8,0.03626625,1.0,0.0,1.7053026E-13,0.039965,0.02209,0.01758,5,0.0,0.0044075,0.00351375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.9164306270500315,46.90765417328562]}"
17039,0.8025657,0.78132564,0.65252674,0.184686,8.53403984E8,0.03626625,1.0,0.0,1.7053026E-13,0.039965,0.02209,0.01758,5,0.0,0.0044075,0.00351375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.916824383367121,46.907655973240324]}"
17040,0.6955579,0.63740546,0.55488324,0.19132845,8.53403984E8,0.03857625,1.0,0.0,1.7053026E-13,0.04459875,0.02633875,0.01758,5,0.0,0.00893125,0.00758375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.917218139710627,46.9076577718398]}"
17041,0.7283162,0.48431566,0.54509693,0.06952273,8.53403984E8,0.0448875,1.0,0.0,1.7053026E-13,0.057015,0.02633875,0.02103125,5,0.0,0.0075425,0.0074325,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.917611896080459,46.90765956908403]}"
17042,0.88025635,0.5948,0.6960151,0.019408502,8.53403984E8,0.05576375,1.0,0.0,1.7053026E-13,0.0714525,0.024675,0.02309375,5,0.0,0.0044075,0.005205,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.91800565247663,46.907661364973045]}"
17043,0.86639225,0.7393764,0.5891987,-0.046433073,8.53403984E8,0.0648525,1.0,0.0,1.7053026E-13,0.0801425,0.02468875,0.02782375,5,0.0,0.005535,0.00312875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.9183994088991545,46.90766315950683]}"
17044,0.8887896,0.61861145,0.6976894,-0.11443585,8.53403984E8,0.06851,1.0,0.0,1.7053026E-13,0.0887775,0.02213125,0.02779625,5,0.0,0.00493,0.0049575,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.918793165347976,46.907664952685394]}"
17045,0.8516075,0.6654097,0.52493125,-0.027124453,8.53403984E8,0.06885375,1.0,0.0,1.7053026E-13,0.08843375,0.0247025,0.02785125,5,0.0,0.0072125,0.0049575,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.919186921823064,46.90766674450872]}"
17046,0.85268193,0.670556,0.5532524,-0.06451361,8.53403984E8,0.06648875,1.0,0.0,1.7053026E-13,0.08496875,0.0247025,0.02781,5,0.0,0.00615375,0.00546625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.919580678324397,46.90766853497681]}"
17047,0.8872538,0.66238725,0.6452402,-0.05921299,8.53403984E8,0.06747875,1.0,0.0,1.7053026E-13,0.08458375,0.02639375,0.02781,5,0.0,0.00636,0.0049575,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.919974434851985,46.90767032408969]}"
17048,0.86606103,0.494375,0.5556716,-0.14866826,8.53503984E8,0.0727175,1.0,0.0,1.7053026E-13,0.085175,0.02471625,0.02859375,5,0.0,0.00681375,0.0077625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.920368191405797,46.90767211184735]}"
17049,0.8668903,0.6712718,0.51906496,-0.15006143,8.53503984E8,0.0727175,1.0,0.0,1.7053026E-13,0.08859875,0.02471625,0.031495,5,0.0,0.00642875,0.0049575,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.920761947985832,46.907673898249755]}"
17050,0.8809019,0.62521636,0.59913665,-0.22507983,8.53503984E8,0.07515125,1.0,0.0,1.7053026E-13,0.090785,0.0222,0.03401125,5,0.0,0.004765,0.0044625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.921155704592027,46.90767568329697]}"
17051,0.8861829,0.61933047,0.54717636,-0.22472282,8.53503984E8,0.08023875,1.0,0.0,1.7053026E-13,0.0907575,0.0222,0.03474,5,0.0,0.0070475,0.00571375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.9215494612243855,46.90767746698892]}"
17052,0.86802226,0.62541455,0.65683085,-0.28057748,8.53503984E8,0.07894625,1.0,0.0,1.7053026E-13,0.0959,0.02221375,0.03830125,5,0.0,0.00636,0.00486125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.921943217882865,46.90767924932567]}"
17053,0.9125244,0.66066474,0.69367474,-0.21488096,8.53503984E8,0.0776675,1.0,0.0,1.7053026E-13,0.0959,0.02642125,0.0365275,5,0.0,0.00442125,0.00521875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.922336974567507,46.90768103030718]}"
17054,0.8724663,0.49806798,0.5553099,-0.18761313,8.53503984E8,0.07258,1.0,0.0,1.7053026E-13,0.087485,0.026435,0.0382875,5,0.0,0.00582375,0.0016575,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.922730731278247,46.90768280993347]}"
17055,0.8388901,0.7093938,0.5698332,-0.15785977,8.53503984E8,0.06393125,6.0,30.0,1.7053026E-13,0.08565625,0.03067,0.039855,5,0.0,0.00849125,0.0049575,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.923124488015056,46.90768458820452]}"
17056,0.8090266,0.7835095,0.53676134,-0.20053804,8.53503984E8,0.06301,2.0,42.426407,1.7053026E-13,0.08499625,0.026435,0.03819125,5,0.0,0.00659375,0.00321125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.923518244777914,46.90768636512033]}"
17057,0.85650206,0.7191734,0.5565718,-0.11432976,8.53503984E8,0.05807375,2.0,30.0,1.7053026E-13,0.0820125,0.026435,0.0376,5,0.0,0.007075,0.00521875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.92391200156682,46.907688140680925]}"
17058,0.8177771,0.65307814,0.55360335,-0.17030808,8.53603984E8,0.05916,1.0,0.0,1.7053026E-13,0.07660875,0.026435,0.038535,5,0.0,0.00783125,0.0057275,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.924305758381796,46.9076899148863]}"
17059,0.8478145,0.49555102,0.55683887,-0.16992651,8.53603984E8,0.05773,1.0,0.0,1.7053026E-13,0.07977125,0.026435,0.03507,5,0.0,0.00681375,0.00711625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.924699515222728,46.90769168773643]}"
17060,0.80883455,0.65150774,0.4912599,-0.14417565,8.53603984E8,0.05730375,1.0,0.0,1.7053026E-13,0.074065,0.026435,0.03508375,5,0.0,0.00823,0.0048475,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.925093272089645,46.90769345923133]}"
17061,0.8252963,0.67012596,0.48976722,-0.17010814,8.53603984E8,0.0563,1.0,0.0,1.7053026E-13,0.074065,0.026435,0.03761375,5,0.0,0.00739125,0.0057825,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.925487028982532,46.907695229371015]}"
17062,0.7657678,0.6476379,0.48460877,-0.14392169,8.53603984E8,0.05590125,1.0,0.0,1.7053026E-13,0.07533,0.02644875,0.03505625,5,0.0,0.00975625,0.00656625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.925880785901364,46.90769699815545]}"
17063,0.7364241,0.6866274,0.335302,-0.118747145,8.53603984E8,0.0560525,1.0,0.0,1.7053026E-13,0.07534375,0.02644875,0.0385075,5,0.0,0.01142,0.00552125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.926274542846152,46.90769876558467]}"
17064,0.7603346,0.6383288,0.42716655,-0.1846765,8.53603984E8,0.060975,1.0,0.0,1.7053026E-13,0.08227375,0.026435,0.041615,5,0.0,0.0108425,0.0057275,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.926668299816812,46.907700531658676]}"
